Unnamed: 0,iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
427,BHR,Bahrain,2020,0.884,79.174,1.477469,0.8636048,0.897164112,80.433,78.165,16.39122709,16.98966408,16.00690651,11.04658985,10.78437042,11.17325974,44780.53541,31548.34434,52788.58217,0.963,0.197,79.90357208,83.08016205,18.75,81.25,41.85,85.54,25.31078486,23.5735
428,BHR,Bahrain,2021,0.884,78.76,1.4632655,0.84256302,0.901353194,80.018,77.757,16.3454539,16.99803734,15.86863327,11.04658985,10.78437042,11.17325974,46757.30276,21717.93517,62040.68089,0.935,0.192,79.90357208,83.08016205,18.75,81.25,42.43,85.77,26.05303892,19.6832
429,BHR,Bahrain,2022,0.888,79.246,1.472233,0.847333815,0.90429854,80.497,78.242,16.29968071,17.0064106,15.73036003,11.04658985,10.78437042,11.17325974,48731.44564,22722.17852,64699.53364,0.937,0.181,79.90357208,83.08016205,22.5,77.5,42.43,85.77,26.05303892,20.3063
2671,IRQ,Iraq,2020,0.661,69.123,42.5569835,0.557775944,0.711412215,71.185,66.954,12.22275571,11.6435291,12.7723928,6.811878947,5.648159084,7.995557168,8749.302168,2003.301818,15483.21171,0.784,0.569,25.29957764,40.35295432,26.443769,73.556231,10.87,69.29,3.755912308,5.8825
2672,IRQ,Iraq,2021,0.667,70.378,43.5335925,0.560131542,0.717140656,72.422,68.2,12.22275571,11.6435291,12.7723928,6.811878947,5.648159084,7.995557168,8684.231347,1930.380019,15419.11248,0.781,0.563,25.29957764,40.35295432,28.87537994,71.12462006,10.77,68.24,3.872579593,5.0368
2673,IRQ,Iraq,2022,0.673,71.336,44.4961215,0.568529848,0.723617504,73.362,69.162,12.22275571,11.6435291,12.7723928,6.811878947,5.648159084,7.995557168,9091.865377,2086.880407,16070.25809,0.786,0.562,25.29957764,40.35295432,28.87537994,71.12462006,10.77,68.24,3.872579593,5.2271
2737,ISR,Israel,2020,0.906,82.36,8.7574895,0.901975308,0.909249311,84.47,80.185,14.8323698,15.37782955,14.30548,13.44279092,13.49055743,13.39140912,39324.16286,33396.99555,45290.69589,0.992,0.085,92.49434106,94.50644355,27.5,72.5,59.44,67.6,6.359985151,28.0577
2738,ISR,Israel,2021,0.911,82.255,8.900059,0.900691034,0.917481723,84.295,80.153,15.02984047,15.58275986,14.49588013,13.44279092,13.49055743,13.39140912,41754.25954,31901.00697,51664.70432,0.982,0.083,92.49434106,94.50644355,28.33333333,71.66666667,59.73,67.11,6.162801842,29.98
2739,ISR,Israel,2022,0.915,82.601,9.038309,0.909960997,0.917964595,84.508,80.625,15.02984047,15.58275986,14.49588013,13.44279092,13.49055743,13.39140912,43588.25725,37414.65081,49792.14767,0.991,0.092,92.49434106,94.50644355,23.33333333,76.66666667,61.15,68.54,6.162801842,30.2337
2869,JOR,Jordan,2020,0.74,75.184,10.928721,0.679510507,0.767920458,77.772,72.987,12.62659427,12.88729797,12.37726514,10.44668007,10.07157993,10.8373003,9182.779177,3382.423083,14560.87383,0.885,0.456,77.37870026,84.21157074,11.28205128,88.71794872,14.69,61.6,1.933327788,7.0829
