Unnamed: 0,iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
31,AFG,Afghanistan,2020,0.488,62.575,38.9722305,0.38137318,0.548740892,65.432,59.866,10.70538475,8.053256911,13.22844948,2.841609995,2.050736646,3.407106638,1986.803772,670.9962486,3275.057369,0.695,0.674,6.092344999,15.94516007,27.21518987,72.78481013,16.5,66.84,0.305040281,1.5554
32,AFG,Afghanistan,2021,0.473,61.982,40.099462,0.379129485,0.528559011,65.279,58.915,10.70538475,8.053256911,13.22844948,2.98506999,2.311079979,3.401309967,1534.135377,618.8682881,2430.862265,0.717,0.653,6.395730019,14.86571026,27.21518987,72.78481013,23.33,77.09,0.306318324,1.2351
33,AFG,Afghanistan,2022,0.462,62.879,41.128771,0.332443297,0.534144723,66.213,59.766,10.70538475,8.053256911,13.22844948,2.514790058,1.174129963,3.912739992,1335.205733,395.9154586,2256.217507,0.622,0.665,7.042049885,24.07703972,27.21518987,72.78481013,23.33,77.09,0.306318324,1.1809
460,BGD,Bangladesh,2020,0.657,71.968,167.4209505,0.619430608,0.68291174,73.957,70.187,11.94633007,12.40666962,11.50172043,7.379059792,6.755380154,8.020810127,5822.800881,3272.145361,8413.176878,0.907,0.502,43.65986785,50.50793677,20.91690544,79.08309456,38.74,81.27,0.559159409,4.5993
461,BGD,Bangladesh,2021,0.662,72.381,169.356251,0.624948823,0.68795021,74.267,70.599,11.94633007,12.40666962,11.50172043,7.379059792,6.755380154,8.020810127,6220.542581,3518.545078,8966.290086,0.908,0.5,43.65986785,50.50793677,20.85714286,79.14285714,39.15,81.39,0.583152966,4.6834
462,BGD,Bangladesh,2022,0.67,73.698,171.1863725,0.63460476,0.694222638,76.012,71.514,11.94633007,12.40666962,11.50172043,7.379059792,6.755380154,8.020810127,6511.122178,3684.291333,9386.85327,0.914,0.498,43.65986785,50.50793677,20.85714286,79.14285714,39.15,81.39,0.583152966,4.6457
658,BTN,Bhutan,2020,0.675,71.609,0.772506,0.667532599,0.681308525,73.536,69.965,13.06449041,13.59799871,12.55190209,5.835794662,5.211722545,6.330068068,9896.599579,9443.670327,10298.29699,0.98,0.326,26.6817707,34.25285327,15.27777778,84.72222222,63.52,72.51,1.190618584,27.7915
659,BTN,Bhutan,2021,0.677,71.815,0.7774865,0.671331251,0.682830492,73.773,70.141,13.06449041,13.59799871,12.55190209,5.835794662,5.211722545,6.330068068,10240.74671,9994.606964,10459.47209,0.983,0.318,26.6817707,34.25285327,16.66666667,83.33333333,65.3,73.1,1.366198234,24.2373
660,BTN,Bhutan,2022,0.681,72.229,0.782455,0.669679955,0.690410405,74.152,70.57,13.06449041,13.59799871,12.55190209,5.835794662,5.211722545,6.330068068,10624.87388,9342.861603,11766.25908,0.97,0.334,26.6817707,34.25285327,15.71428571,84.28571429,53.48,73.45,1.366198234,24.7398
2572,IND,India,2020,0.638,70.15,1396.387127,0.569477136,0.67969685,71.824,68.615,11.72447014,11.73425961,11.71557999,6.494880199,5.370069981,7.644720078,6089.656533,2430.703463,9517.157074,0.838,0.453,40.0737381,58.76240158,13.39285714,86.60714286,26.17,74.25,1.734155417,4.4451
2573,IND,India,2021,0.633,67.24,1407.563842,0.567373824,0.673183938,68.886,65.756,12.00971031,11.98221016,12.03437042,6.532790184,5.449754953,7.635304928,6542.449788,2692.799857,10151.30291,0.843,0.45,40.51648903,58.71291542,13.44430218,86.55569782,27.04,75.1,1.899893859,4.6026
2574,IND,India,2022,0.644,67.744,1417.173173,0.582116956,0.683509529,69.384,66.257,12.58370972,12.60725021,12.56225967,6.570700169,5.529439926,7.625889778,6950.526798,2957.853786,10696.44788,0.852,0.437,40.95923996,58.66342926,14.63414634,85.36585366,28.26,76.14,1.899893859,4.7841
3529,MDV,Maldives,2020,0.737,79.875,0.514438,0.721885298,0.742107574,81.273,78.85,12.17795095,13.33348102,11.23151446,7.762392544,7.869674371,7.655778428,12331.54632,7772.563666,15666.0011,0.973,0.338,46.92806785,46.26936583,4.597701149,95.40229885,51.96,78.4,3.205050949,
3530,MDV,Maldives,2021,0.753,79.918,0.5214575,0.738850026,0.757713199,81.019,79.082,12.17795095,13.33348102,11.23151446,7.762392544,7.869674371,7.655778428,16857.60546,10859.44063,21259.8677,0.975,0.333,46.92806785,46.26936583,4.597701149,95.40229885,53.34,78.21,3.299409156,
3531,MDV,Maldives,2022,0.762,80.839,0.523787,0.748232807,0.767000753,81.844,80.065,12.17795095,13.33348102,11.23151446,7.762392544,7.869674371,7.655778428,18846.79219,12160.7956,23783.29128,0.976,0.328,46.92806785,46.26936583,4.597701149,95.40229885,53.34,78.21,3.299409156,
4090,NPL,Nepal,2020,0.593,69.246,29.3486275,0.554199756,0.627231013,71.173,67.345,12.64451981,12.82380009,12.46627045,4.485598758,3.424288376,5.71329857,3805.213582,2451.573032,5293.220224,0.884,0.497,25.97287447,42.77925595,33.63363363,66.36636637,27.91,54.95,0.507771624,8.0381
4091,NPL,Nepal,2021,0.591,68.45,30.0349895,0.55236917,0.624691781,70.362,66.574,12.64451981,12.82380009,12.46627045,4.485598758,3.424288376,5.71329857,3874.43281,2506.298308,5365.668353,0.884,0.496,25.97287447,42.77925595,33.63363363,66.36636637,27.91,54.95,0.520339794,8.3894
4092,NPL,Nepal,2022,0.601,70.484,30.54758,0.56228259,0.635119215,72.364,68.608,12.64451981,12.82380009,12.46627045,4.485598758,3.424288376,5.71329857,4025.554685,2608.972525,5563.52862,0.885,0.495,25.97287447,42.77925595,33.83233533,66.16766467,27.91,54.95,0.520339794,8.4528
4387,PAK,Pakistan,2020,0.536,66.269,227.1967405,0.47372939,0.570296558,68.825,63.945,7.89510849,7.336258257,8.426956754,4.422319019,3.928515917,4.793410015,4912.291411,1910.958039,7849.984728,0.831,0.527,22.04421511,26.87501103,19.95515695,80.04484305,24.03,80.26,0.882947524,3.9032
4388,PAK,Pakistan,2021,0.537,66.098,231.4021165,0.47670882,0.57165999,68.623,63.787,7.89510849,7.336258257,8.426956754,4.422319019,3.928515917,4.793410015,5164.940484,2047.83973,8222.547155,0.834,0.524,22.04421511,26.87501103,19.90950226,80.09049774,24.53,80.67,0.965638962,4.2336
4389,PAK,Pakistan,2022,0.54,66.431,235.8248625,0.479544875,0.574877828,68.918,64.134,7.89510849,7.336258257,8.426956754,4.422319019,3.928515917,4.793410015,5374.270423,2120.097428,8571.08282,0.834,0.522,22.04421511,26.87501103,20.13574661,79.86425339,24.53,80.67,0.965638962,4.2447
5476,LKA,Sri Lanka,2020,0.777,76.393,21.7150795,0.754518434,0.786263965,80.111,72.597,13.64182201,14.11550272,13.18408462,10.82730007,10.83043003,10.82703018,12589.80645,7081.786381,18509.73943,0.96,0.37,83.96347046,84.23522186,5.381165919,94.61883408,31.96,71.8,0.949787012,4.4117
5477,LKA,Sri Lanka,2021,0.783,76.399,21.7734405,0.752698948,0.798247074,79.502,73.11,13.64182201,14.11550272,13.18408462,11.24960995,11.12806034,11.38661957,12958.82226,6796.372828,19587.27179,0.943,0.377,80.6453476,83.28645325,5.381165919,94.61883408,29.68,70.69,0.924001861,5.0605
5478,LKA,Sri Lanka,2022,0.78,76.61,21.832143,0.750765016,0.792700012,80.23,72.851,13.64182201,14.11550272,13.18408462,11.24960995,11.12806034,11.38661957,11899.49847,6241.114077,17989.8154,0.947,0.376,80.6453476,83.28645325,5.333333333,94.66666667,29.68,70.69,0.924001861,4.9743
