Unnamed: 0,iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
31,AFG,Afghanistan,2020,0.488,62.575,38.9722305,0.38137318,0.548740892,65.432,59.866,10.70538475,8.053256911,13.22844948,2.841609995,2.050736646,3.407106638,1986.803772,670.9962486,3275.057369,0.695,0.674,6.092344999,15.94516007,27.21518987,72.78481013,16.5,66.84,0.305040281,1.5554
32,AFG,Afghanistan,2021,0.473,61.982,40.099462,0.379129485,0.528559011,65.279,58.915,10.70538475,8.053256911,13.22844948,2.98506999,2.311079979,3.401309967,1534.135377,618.8682881,2430.862265,0.717,0.653,6.395730019,14.86571026,27.21518987,72.78481013,23.33,77.09,0.306318324,1.2351
33,AFG,Afghanistan,2022,0.462,62.879,41.128771,0.332443297,0.534144723,66.213,59.766,10.70538475,8.053256911,13.22844948,2.514790058,1.174129963,3.912739992,1335.205733,395.9154586,2256.217507,0.622,0.665,7.042049885,24.07703972,27.21518987,72.78481013,23.33,77.09,0.306318324,1.1809
64,ALB,Albania,2020,0.784,76.989,2.8668485,0.775403713,0.793219864,79.676,74.632,14.75971985,15.01955986,14.49291039,10.12114431,9.811468219,10.43385538,13069.1277,11153.64445,14983.69514,0.978,0.129,82.24918524,86.47663419,29.50819672,70.49180328,54.45,68.91,1.750667719,10.4704
65,ALB,Albania,2021,0.785,76.463,2.85471,0.777866227,0.792941754,79.173,74.087,14.57174969,14.84924984,14.28942013,10.12114431,9.811468219,10.43385538,14399.78047,12550.78289,16252.40873,0.981,0.117,82.24918524,86.47663419,35.71428571,64.28571429,56.08,69.91,1.717757671,11.5865
66,ALB,Albania,2022,0.789,76.833,2.842321,0.780277105,0.798432468,79.472,74.502,14.48746967,14.68103981,14.29220009,10.12114431,9.811468219,10.43385538,15293.32651,13198.53956,17398.00369,0.977,0.116,82.24918524,86.47663419,35.71428571,64.28571429,56.08,69.91,1.717757671,11.7367
97,DZA,Algeria,2020,0.73,74.453,43.451666,0.666723869,0.758643255,75.912,73.082,15.30220699,15.99970124,14.63475288,6.987443608,6.490567748,7.481537359,10634.88398,3709.098381,17305.9126,0.879,0.396,42.91045642,46.81516971,21.06135987,78.93864013,17.53,65.59,3.909926031,8.7299
98,DZA,Algeria,2021,0.74,76.377,44.1779685,0.677675003,0.768169354,77.959,74.879,15.39504337,16.13194023,14.68931658,6.987443608,6.490567748,7.481537359,10823.11813,3786.828917,17604.03085,0.882,0.457,42.91045642,46.81516971,7.481751825,92.51824818,17.57,65.53,4.079540189,8.6074
99,DZA,Algeria,2022,0.745,77.129,44.903225,0.681844236,0.773800103,78.457,75.853,15.48787975,16.26417923,14.74388027,6.987443608,6.490567748,7.481537359,10978.40571,3841.656612,17858.79078,0.881,0.46,42.91045642,46.81516971,7.00525394,92.99474606,17.57,65.53,4.079540189,8.7199
130,AND,Andorra,2020,0.843,79.023,0.0777,,,83.192,75.763,11.91193008,11.87710953,11.94482994,11.260993,11.17857647,11.34328016,48026.39049,,,,,78.3067983,80.78739166,46.42857143,53.57142857,,,4.80990991,
131,AND,Andorra,2021,0.855,80.368,0.079034,,,84.324,77.172,11.98771,12.00349045,11.9749403,11.43721628,11.35058308,11.5238301,51128.3475,,,,,80.01253764,82.69369507,46.42857143,53.57142857,,,4.593592631,
132,AND,Andorra,2022,0.884,83.552,0.079824,,,85.838,81.43,12.7837801,12.76506042,12.81062984,11.61343956,11.52258968,11.70438004,54233.44948,,,,,81.71827698,84.59999847,46.42857143,53.57142857,,,4.593592631,
163,AGO,Angola,2020,0.594,62.261,33.428486,0.564139616,0.622442299,64.982,59.584,12.1676,11.5354,12.9099,5.844291601,4.462809114,7.1879602,5487.669515,4823.101218,6168.069689,0.906,0.529,21.33986532,37.41194629,30.0,70.0,73.88,77.68,0.501512393,3.6951
164,AGO,Angola,2021,0.59,61.643,34.5037735,0.557096361,0.620342003,64.307,59.029,12.1676,11.5354,12.9099,5.844291601,4.462809114,7.1879602,5332.94813,4438.483138,6248.437323,0.898,0.529,21.33986532,37.41194629,29.54545455,70.45454545,74.73,78.16,0.507358992,3.5943
165,AGO,Angola,2022,0.591,61.929,35.588987,0.560890287,0.619679764,64.541,59.351,12.1676,11.5354,12.9099,5.844291601,4.462809114,7.1879602,5327.788251,4696.356687,5973.845631,0.905,0.52,21.33986532,37.41194629,33.63636364,66.36363636,74.73,78.16,0.507358992,3.6568
196,ATG,Antigua and Barbuda,2020,0.82,78.841,0.092664,,,81.316,76.061,15.51232774,16.74628979,14.35053709,10.54622968,10.3442228,10.59597506,17222.93616,,,,,,,31.42857143,68.57142857,,,6.682422516,
197,ATG,Antigua and Barbuda,2021,0.819,78.497,0.0932195,,,80.941,75.775,15.51232774,16.74628979,14.35053709,10.54622968,10.3442228,10.59597506,17420.06637,,,,,,,31.42857143,68.57142857,,,6.401055579,
198,ATG,Antigua and Barbuda,2022,0.826,79.236,0.093763,,,81.645,76.507,15.51232774,16.74628979,14.35053709,10.54622968,10.3442228,10.59597506,18783.96536,,,,,,,31.42857143,68.57142857,,,6.401055579,
229,ARG,Argentina,2020,0.841,75.892,45.036032,0.832788419,0.833979413,79.285,72.546,18.36116028,20.03861046,16.75852013,11.14408016,11.39165974,10.85797977,19183.11525,14476.2118,23983.33115,0.999,0.303,73.59154056,71.6480851,40.72948328,59.27051672,46.81,66.38,3.705468546,14.2373
230,ARG,Argentina,2021,0.844,75.39,45.27678,0.832734391,0.841562592,78.647,72.182,18.97950935,20.91489983,17.13032913,11.14408016,11.39165974,10.85797977,21093.47399,15303.16408,26999.27963,0.99,0.296,73.59154056,71.6480851,44.3768997,55.6231003,50.48,71.15,4.190779468,14.0088
231,ARG,Argentina,2022,0.849,76.064,45.510318,0.841405452,0.845472815,79.277,72.851,18.97950935,20.91489983,17.13032913,11.14408016,11.39165974,10.85797977,22047.97131,16933.06291,27264.83091,0.995,0.292,73.59154056,71.6480851,44.3768997,55.6231003,52.08,71.74,4.190779468,14.4512
262,ARM,Armenia,2020,0.769,72.173,2.8056085,0.769557919,0.765450692,76.996,67.051,14.07796955,14.40810013,13.76198959,11.33030033,11.32151985,11.34119034,13181.64894,10228.8343,16775.15061,1.005,0.223,96.00138092,97.05095673,23.48484848,76.51515152,62.61,71.14,2.423360641,7.0442
263,ARM,Armenia,2021,0.774,72.043,2.7909735,0.776964338,0.76863294,77.35,66.554,14.43037987,14.7423296,14.13381004,11.33030033,11.32151985,11.34119034,13813.88142,10735.43075,17573.38101,1.011,0.202,96.00138092,97.05095673,33.64485981,66.35514019,62.8,71.84,2.531087713,8.0231
264,ARM,Armenia,2022,0.786,73.372,2.780469,0.795110468,0.774941834,78.447,67.866,14.40561008,14.81291008,14.02233982,11.33030033,11.32151985,11.34119034,15388.29976,13442.50133,17770.4153,1.026,0.198,96.00138092,97.05095673,35.51401869,64.48598131,62.8,71.84,2.531087713,7.3553
295,AUS,Australia,2020,0.948,84.324,25.6700505,0.930064914,0.961623306,85.719,82.889,20.93943977,21.73601913,20.1547699,12.72681999,12.81058979,12.63971043,48074.57131,36766.3672,59554.66785,0.967,0.074,94.58006287,94.43006897,36.72566372,63.27433628,60.21,70.04,15.45322991,27.8755
296,AUS,Australia,2021,0.949,84.526,25.921089,0.931899711,0.960858597,85.84,83.172,21.0800209,21.98143005,20.19375992,12.72681999,12.81058979,12.63971043,48075.67425,37647.30245,58654.45483,0.97,0.073,94.58006287,94.43006897,37.88546256,62.11453744,61.23,70.64,14.91476303,27.5779
297,AUS,Australia,2022,0.946,83.579,26.1774135,0.934601518,0.955940587,85.453,81.708,21.0800209,21.98143005,20.19375992,12.72681999,12.81058979,12.63971043,49257.1352,41131.47085,57495.77158,0.978,0.063,94.58006287,94.43006897,44.49339207,55.50660793,62.31,71.13,14.91476303,26.9245
328,AUT,Austria,2020,0.916,81.504,8.907777,0.902151972,0.926511719,83.906,79.054,16.12446976,16.5221405,15.74913979,12.30571367,12.04894857,12.57887231,52446.03371,39496.17292,65815.67567,0.974,0.052,100.0,100.0,38.52459016,61.47540984,55.9,65.95,6.973827477,25.2022
329,AUT,Austria,2021,0.92,81.58,8.922082,0.908226054,0.929696551,84.084,79.043,16.36746025,16.83849907,15.92267036,12.30571367,12.04894857,12.57887231,54360.74096,41209.31665,67931.05051,0.977,0.052,100.0,100.0,39.3442623,60.6557377,56.09,66.43,7.399461247,28.0657
330,AUT,Austria,2022,0.926,82.412,8.939617,0.911591936,0.937756448,84.6,80.15,16.36746025,16.83849907,15.92267036,12.30571367,12.04894857,12.57887231,56529.66329,41899.21124,71616.2043,0.972,0.048,100.0,100.0,40.98360656,59.01639344,56.55,66.69,7.399461247,27.9621
361,AZE,Azerbaijan,2020,0.722,66.868,10.284951,0.712016501,0.72963501,70.998,62.986,12.63204002,12.72764969,12.54786015,10.55612992,10.21799194,10.91843537,13683.77025,10088.08437,17371.22269,0.976,0.333,93.5774011,97.57326992,17.3553719,82.6446281,64.0,69.8,3.514766381,9.4575
362,AZE,Azerbaijan,2021,0.738,69.366,10.312992,0.726160775,0.746644707,73.287,65.646,12.67770004,12.73447037,12.62804985,10.55612992,10.21799194,10.91843537,14408.1067,10696.8926,18217.42839,0.973,0.327,93.5774011,97.57326992,18.18181818,81.81818182,64.2,70.1,3.717029937,8.5633
363,AZE,Azerbaijan,2022,0.76,73.488,10.358074,0.743349756,0.773371293,76.249,70.55,12.71063042,12.67574024,12.74398041,10.55612992,10.21799194,10.91843537,15018.05443,11526.15794,18603.12947,0.961,0.329,93.5774011,97.57326992,18.33333333,81.66666667,61.9,69.6,3.717029937,8.3385
394,BHS,Bahamas,2020,0.798,72.677,0.4064715,0.80056505,0.795706016,76.27,69.102,11.89137971,12.16470981,11.61521687,12.73161494,12.82493607,12.65641572,24649.01825,21369.65342,28222.74969,1.006,0.331,86.76156148,90.02490432,21.81818182,78.18181818,67.01,72.52,5.372338986,12.9553
395,BHS,Bahamas,2021,0.799,71.598,0.4079055,0.801515851,0.796632119,75.096,68.121,11.89137971,12.16470981,11.61521687,12.73161494,12.82493607,12.65641572,28178.29448,24563.91033,32123.49641,1.006,0.335,86.76156148,90.02490432,20.0,80.0,68.96,73.91,5.14996102,16.3336
396,BHS,Bahamas,2022,0.82,74.358,0.409984,0.822293357,0.816891253,77.843,70.757,11.89137971,12.16470981,11.61521687,12.73161494,12.82493607,12.65641572,32534.88784,28374.91931,37084.66455,1.007,0.333,86.76156148,90.02490432,20.0,80.0,68.96,73.91,5.14996102,16.6713
427,BHR,Bahrain,2020,0.884,79.174,1.477469,0.8636048,0.897164112,80.433,78.165,16.39122709,16.98966408,16.00690651,11.04658985,10.78437042,11.17325974,44780.53541,31548.34434,52788.58217,0.963,0.197,79.90357208,83.08016205,18.75,81.25,41.85,85.54,25.31078486,23.5735
428,BHR,Bahrain,2021,0.884,78.76,1.4632655,0.84256302,0.901353194,80.018,77.757,16.3454539,16.99803734,15.86863327,11.04658985,10.78437042,11.17325974,46757.30276,21717.93517,62040.68089,0.935,0.192,79.90357208,83.08016205,18.75,81.25,42.43,85.77,26.05303892,19.6832
